id,title,author,alternate_titles,author_aliases,edition,contained_titles,source_images
B050,War and Peace,Leo Tolstoy,Voyna i mir,Lev Tolstoy|Лев Толстой|Tolstoy Leo,English translation,,
B052,Crime and Punishment,Fyodor Dostoevsky,Prestuplenie i nakazanie,Fyodor Dostoyevsky|Фёдор Достоевский|Dostoevsky Fyodor,English translation,,
B055,Les Misérables,Victor Hugo,Les Miserables,Hugo Victor,English translation,,
B059,Frankenstein,Mary Shelley,Frankenstein or The Modern Prometheus,Shelley Mary,Standard edition,,
B061,The Great Gatsby,F. Scott Fitzgerald,Great Gatsby,F Scott Fitzgerald|Francis Scott Key Fitzgerald|Fitzgerald F. Scott,Standard edition,,
B062,To Kill a Mockingbird,Harper Lee,,Lee Harper,Standard edition,,
B064,1984,George Orwell,Nineteen Eighty-Four,Eric Arthur Blair|Orwell George,Standard edition,,
B065,Animal Farm,George Orwell,Animal Farm: A Fairy Story,Eric Arthur Blair|Orwell George,Standard edition,,
B067,Fahrenheit 451,Ray Bradbury,Fahrenheit Four Fifty-One,Bradbury Ray,Standard edition,,
B073,Lord of the Flies,William Golding,,Golding William,Standard edition,,
B075,Beloved,Toni Morrison,,Morrison Toni,Standard edition,,classics-bookshelf.jpg
B077,The Handmaid's Tale,Margaret Atwood,Handmaids Tale,Atwood Margaret,Standard edition,,
B081,Dune,Frank Herbert,Dune Book One,Herbert Frank,Standard edition,,
B082,Dune Messiah,Frank Herbert,Dune Book Two,Herbert Frank,Standard edition,,
B085,Foundation,Isaac Asimov,Foundation Book One,Asimov Isaac,Standard edition,,
B086,Foundation and Empire,Isaac Asimov,Foundation Book Two,Asimov Isaac,Standard edition,,
B089,The Martian,Andy Weir,,Weir Andy,Standard edition,,
B102,The Hitchhiker's Guide to the Galaxy,Douglas Adams,Hitchhiker's Guide|HHGTTG,Adams Douglas,Standard edition,,
B107,The Alchemist,Paulo Coelho,O Alquimista,Coelho Paulo,English edition,,
B108,The Alchemist,Ben Jonson,,Jonson Ben,Standard edition,,
B109,One Hundred Years of Solitude,Gabriel García Márquez,Cien años de soledad,Gabriel Garcia Marquez|García Márquez Gabriel|Marquez Gabriel Garcia,English edition,,
B117,The Kite Runner,Khaled Hosseini,,Hosseini Khaled,Standard edition,,
B120,The Book Thief,Markus Zusak,,Zusak Markus,Standard edition,,
B126,The Thursday Murder Club,Richard Osman,,Osman Richard,Standard edition,,
B129,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,Seven Husbands of Evelyn Hugo,Reid Taylor Jenkins,Standard edition,,fiction-bookshelf.jpeg
B132,The Midnight Library,Matt Haig,,Haig Matt,Standard edition,,
B136,The Hunger Games,Suzanne Collins,Hunger Games,Collins Suzanne,Standard edition,,
B141,The Little Prince,Antoine de Saint-Exupéry,Le Petit Prince,Antoine de Saint Exupery|Saint-Exupéry Antoine de,English edition,,
B146,Educated,Tara Westover,,Westover Tara,Standard edition,,
B151,Sapiens,Yuval Noah Harari,Sapiens: A Brief History of Humankind,Harari Yuval Noah,Standard edition,,
B154,Atomic Habits,James Clear,Atomic Habits: An Easy & Proven Way to Build Good Habits,Clear James,Standard edition,,
B156,Deep Work,Cal Newport,Deep Work: Rules for Focused Success in a Distracted World,Newport Cal,Standard edition,,mixed-bookshelf.jpg
B161,Home,Toni Morrison,,Morrison Toni,Standard edition,,
B162,Home,Marilynne Robinson,,Robinson Marilynne,Standard edition,,
B163,The Power,Naomi Alderman,,Alderman Naomi,Standard edition,,
B164,The Power,Rhonda Byrne,,Byrne Rhonda,Standard edition,,
T001,Coming Home,Rosamunde Pilcher,,Pilcher Rosamunde,Edition not identifiable from photo,,word-order-bookshelf.webp
T002,Snap Happy,Fiona Walker,,Walker Fiona,Edition not identifiable from photo,,word-order-bookshelf.webp
T003,The Butterfly Lion,Michael Morpurgo,,Morpurgo Michael,Edition not identifiable from photo,,word-order-bookshelf.webp
T004,Ruby the Red Fairy,Daisy Meadows,Rainbow Magic: Ruby the Red Fairy,Meadows Daisy,Edition not identifiable from photo,,word-order-bookshelf.webp
T005,The Spider Network,David Enrich,The Spider Network: The Wild Story of a Math Genius a Gang of Backstabbing Bankers and One of the Greatest Scams in Financial History,Enrich David,Edition not identifiable from photo,,business-bookshelf.webp
T006,Truly Free,Robert H. Morris,Truly Free: Breaking the Snares That So Easily Entangle,Robert Morris|Morris Robert H.,Edition not identifiable from photo,,business-bookshelf.webp
T007,How to Speak Money,John Lanchester,How to Speak Money: What the Money People Say and What It Really Means,Lanchester John,Edition not identifiable from photo,,business-bookshelf.webp
T008,The Rivals,James Naughtie,The Rivals: The Intimate Story of a Political Marriage,Naughtie James,Edition not identifiable from photo,,business-bookshelf.webp
T009,The Rosie Effect,Graeme Simsion,,Simsion Graeme,Edition not identifiable from photo,,business-bookshelf.webp
T010,Black Edge,Sheelah Kolhatkar,Black Edge: Inside Information Dirty Money and the Quest to Bring Down the Most Wanted Man on Wall Street,Kolhatkar Sheelah,Edition not identifiable from photo,,business-bookshelf.webp
T011,Everyone Who Is Gone Is Here,Jonathan Blitzer,Everyone Who Is Gone Is Here: The United States Central America and the Making of a Crisis,Blitzer Jonathan,Edition not identifiable from photo,,literary-bookshelf.jpeg
T012,Martyr!,Kaveh Akbar,Martyr,Akbar Kaveh,Edition not identifiable from photo,,literary-bookshelf.jpeg
T013,The Nickel Boys,Colson Whitehead,Nickel Boys,Whitehead Colson,Edition not identifiable from photo,,literary-bookshelf.jpeg
T014,James,Percival Everett,,Everett Percival,Edition not identifiable from photo,,literary-bookshelf.jpeg
T015,Colored Television,Danzy Senna,,Senna Danzy,Edition not identifiable from photo,,literary-bookshelf.jpeg
T016,Challenger,Adam Higginbotham,Challenger: A True Story of Heroism and Disaster on the Edge of Space,Higginbotham Adam,Edition not identifiable from photo,,literary-bookshelf.jpeg
T017,A Terrible Kindness,Jo Browning Wroe,,Wroe Jo Browning|Jo Wroe,Edition not identifiable from photo,,fiction-bookshelf.jpeg
T018,Demon Copperhead,Barbara Kingsolver,,Kingsolver Barbara,Edition not identifiable from photo,,fiction-bookshelf.jpeg
T019,In Memoriam,Alice Winn,,Winn Alice,Edition not identifiable from photo,,fiction-bookshelf.jpeg
T020,The Life Impossible,Matt Haig,,Haig Matt,Edition not identifiable from photo,,fiction-bookshelf.jpeg
T021,In a Sunburned Country,Bill Bryson,Down Under,Bryson Bill,Edition not identifiable from photo,,mixed-bookshelf.jpg
T022,Feel Free,Zadie Smith,Feel Free: Essays,Smith Zadie,Edition not identifiable from photo,,mixed-bookshelf.jpg
T023,I Am the Messenger,Markus Zusak,The Messenger,Zusak Markus,Edition not identifiable from photo,,mixed-bookshelf.jpg
T024,What Is Philosophy For?,Mary Midgley,What Is Philosophy For,Midgley Mary,Edition not identifiable from photo,,mixed-bookshelf.jpg
T025,Spiral Jetta,Erin Hogan,Spiral Jetta: A Road Trip through the Land Art of the American West,Hogan Erin,Edition not identifiable from photo,,mixed-bookshelf.jpg
T026,New Urban Housing,Hilary French,,French Hilary,Edition not identifiable from photo,,design-bookshelf.jpg
T027,1000 Designs for the Garden and Where to Find Them,Geraldine Rudge and Ian Rudge,One Thousand Designs for the Garden and Where to Find Them,Geraldine Rudge|Ian Rudge|Rudge Geraldine|Rudge Ian,Edition not identifiable from photo,,design-bookshelf.jpg
T028,The Book of Symbols,Ami Ronnberg and Kathleen Martin,The Book of Symbols: Reflections on Archetypal Images,Ami Ronnberg|Kathleen Martin|Ronnberg Ami|Martin Kathleen,Edition not identifiable from photo,,design-bookshelf.jpg
T029,Gardens in France,Marie-Françoise Valéry,Jardins de France en fleurs|Gärten in Frankreich,Marie-Francoise Valery|Valéry Marie-Françoise,Edition not identifiable from photo,,design-bookshelf.jpg
T030,Making It,Chris Lefteri,Making It: Manufacturing Techniques for Product Design,Lefteri Chris,Edition not identifiable from photo,,design-bookshelf.jpg
T031,"Sticks Angelica, Folk Hero",Michael DeForge,Sticks Angelica Folk Hero,Michael Deforge|DeForge Michael,Edition not identifiable from photo,,graphic-bookshelf.jpeg
T032,Hamilton,Ron Chernow,,Chernow Ron,Edition not identifiable from photo,,graphic-bookshelf.jpeg
T033,Seasons,Hannah Pang,,Pang Hannah,Edition not identifiable from photo,,graphic-bookshelf.jpeg
T034,Alice's Adventures in Wonderland,Lewis Carroll,Alice in Wonderland,Charles Lutwidge Dodgson|Carroll Lewis,Edition not identifiable from photo,,graphic-bookshelf.jpeg
T035,Can't We Talk About Something More Pleasant?,Roz Chast,Cant We Talk About Something More Pleasant,Chast Roz,Edition not identifiable from photo,,graphic-bookshelf.jpeg
T036,Burma Chronicles,Guy Delisle,Chroniques birmanes,Delisle Guy,Edition not identifiable from photo,,graphic-bookshelf.jpeg
T037,The Most Wonderful Crime of the Year,Ally Carter,,Carter Ally,Edition not identifiable from photo,,romance-bookshelf.jpg
T038,Book Lovers,Emily Henry,,Henry Emily,Edition not identifiable from photo,,romance-bookshelf.jpg
T039,The Bride Test,Helen Hoang,,Hoang Helen,Edition not identifiable from photo,,romance-bookshelf.jpg
T040,Yours Truly,Abby Jimenez,,Jimenez Abby,Edition not identifiable from photo,,romance-bookshelf.jpg
T041,The Unhoneymooners,Christina Lauren,,Lauren Christina,Edition not identifiable from photo,,romance-bookshelf.jpg
T042,"Red, White & Royal Blue",Casey McQuiston,Red White and Royal Blue,Casey Mcquiston|McQuiston Casey,Edition not identifiable from photo,,romance-bookshelf.jpg
T043,Family Matters,Rohinton Mistry,,Mistry Rohinton,Edition not identifiable from photo,,classics-bookshelf.jpg
T044,The Thousand Autumns of Jacob de Zoet,David Mitchell,Thousand Autumns of Jacob de Zoet,Mitchell David,Edition not identifiable from photo,,classics-bookshelf.jpg
T045,Paradise,Toni Morrison,,Morrison Toni,Edition not identifiable from photo,,classics-bookshelf.jpg
T046,The Ghost Writer,Philip Roth,Ghost Writer,Roth Philip,Edition not identifiable from photo,,classics-bookshelf.jpg
T047,Tender Is the Night,F. Scott Fitzgerald,Tender Is The Night,F Scott Fitzgerald|Francis Scott Key Fitzgerald|Fitzgerald F. Scott,Edition not identifiable from photo,,classics-bookshelf.jpg
T048,The Art of Memoir,Mary Karr,Art of Memoir,Karr Mary,Edition not identifiable from photo,,writing-bookshelf.webp
T049,Draft No. 4,John McPhee,Draft Number Four|Draft No 4: On the Writing Process,McPhee John|John Mcphee,Edition not identifiable from photo,,writing-bookshelf.webp
T050,The Writing Life,Annie Dillard,Writing Life,Dillard Annie,Edition not identifiable from photo,,writing-bookshelf.webp
T051,The Fixed Stars,Molly Wizenberg,The Fixed Stars: A Memoir,Wizenberg Molly,Edition not identifiable from photo,,writing-bookshelf.webp
T052,The Faraway Nearby,Rebecca Solnit,Faraway Nearby,Solnit Rebecca,Edition not identifiable from photo,,writing-bookshelf.webp
